idcategory,categdesc
01,CELESTIAL BODIES; NATURAL PHENOMENA; GEOGRAPHICAL MAPS
0101,STARS; COMETS
010101,Stars
010102,One star; nothing else
010103,Two stars
010104,Three stars
010105,More than three stars
010108,Stars with three points
010109,Stars with four points
010110,Stars with more points
010112,Stars with uneven points; including sparks
010113,Stars with rays or radiating lines
010114,Incomplete stars
010115,Comets; stars with tail and sonic
010116,Stars with points ending in spheres
010117,Compass cards
010120,Star representing a human face or the head of an animal
010125,Other representations of stars; not classified in division 1.11; stars stylized
010199,Stars with five points
0103,SUN
010301,Sun rising or setting
010302,Other representations of the sun ; suns stylized
010306,Sun with landscapes
010307,Sun with human beings or parts of the human body
010308,Sun with animals
010309,Sun with plants
010310,Sun with clouds; rain; drops of water or representations of other natural phenom
010311,Sun with manufactured articles or industrial products
010312,Sun with other figurative elements
010313,Sun with inscriptions
010315,Sun with rays constituted by rectilinear lines; sheaves of lines or bands
010316,Sun with rays constituted by flames or wavy lines; sheaves of lines or bands
010317,Sun with rays constituted by triangles
010318,Sun with irregular rays (corona)
010319,Several suns
010320,Sun representing a human face or the head of an animal
0105,EARTH; TERRESTRIAL GLOBES; PLANETS
010501,Terrestrial globes
010502,Terrestrial globes with representation solely of meridians and parallels
010503,Terrestrial globes in flattened form
010504,Two terrestrial globes; maps of the world in two hemispheres
010505,Free-standing terrestrial globes
010506,Terrestrial globes with a banderole or an inscription
010507,Terrestrial globes with human beings or parts of the human body
010508,Terrestrial globes with animals
010509,Terrestrial globes with plants
010510,Terrestrial globes with clouds; rain; drops or water or representations of other
010511,Terrestrial globes with manufactured articles or industrial products
010512,Terrestrial globes with other figurative elements
010515,Parts of terrestrial globes
010523,Other representations of the Earth or of the terrestrial globe
010524,Saturn
010525,Other planets
0107,MOON
010701,Full moon; several moons
010703,Full moon representing a human face or the head of an animal
010706,Crescent moon; half-moon
010707,Crescent or half-moon with human beings or parts of the human body
010708,Crescent or half-moon with animals
010710,Crescent or half-moon with clouds; rain; drops of water or representations of ot
010711,Crescent or half-moon with manufactured articles or industrial products
010712,Crescent or half-moon with other figurative elements
010719,Several crescents or half-moons
010720,Crescent or half-moon representing a human face or the head of an animal
010722,Lunar globe
0111,CONSTELLATIONS; GROUPS OF STARS; STARRY SKY; CELESTIAL GLOBES; CELESTIAL MAPS
011101,Constellations; galaxies
